"RefDes","Value","Name","Quantity"
"C1","100uFx50","B41121A6107M000","1"
"C2, C7","470pF","GRM2165C1H471J","2"
"C3, C6","1000uFx16","TKR102M1CG16","2"
"C4, C5","1uF","1uF (0805)","2"
"C101, C102, C201, C202, C205, C206, C209, C210, C302, C303, C603","10nF","10 nF (0805)","11"
"C103, C104, C203, C204, C207, C208, C211, C212, C304, C305, C602","100nF","100 nF (0805)","11"
"C213","100nF","100nF (0805)","1"
"C214","10pF","10pF (0805)","1"
"C215","10pF ","10pF (0805)","1"
"C216","27pF","27pF (0805)","1"
"C217","27pF","27 pF (0805)","1"
"C301","0.1uF","0.1uF (0805)","1"
"C501, C502, C503, C504","150pF","150pF (0805)","4"
"C601","10uF","B41121A4106M000","1"
"D1, D2, D3, D4, D5, D6, D7, D8, D10, D11","","10BQ060","10"
"D9, D101","LED","BL-LS1206UYC","2"
"D12","","TA07-11YWA","1"
"D102, D103","","SMBJ13CA","2"
"D301","","BZX84C5V6LT1G","1"
"D501, D502, D503, D504","3mm Round","L-934ID (L-7104ID)","4"
"J201","","CH25-2032","1"
"J202, J203","","PBS-16 (DS-1023 - 1x16)","2"
"J401, J402, J403, J404, J405, J406, J407, J408, J409, J410, J411, J412","","KLS2-306V-5.00-03P-2S","12"
"J601","","47346-0001","1"
"K501, K502, K503, K504","","RT314005","4"
"L1, L2","330uH","B82477G4334M","2"
"Q1, Q501","","ULN2003ADR","2"
"Q301, Q302","","2N7002.215","2"
"Q601, Q602","","BC817-16.215","2"
"R1, R2, R3, R7, R303, R603, R604","1","1 (0805)","7"
"R4, R11","3.9k","3.9k (0805)","2"
"R5, R10","100","3362P-1-101LF","2"
"R6, R9, R12, R304, R305, R308","1.1k","1.1k (0805)","6"
"R8, R13, R101, R307","180","180 (0805)","4"
"R14, R15, R201, R202, R602","10k","10k (0805)","5"
"R102, R103","1,5k","1,5k (1206)","2"
"R104","120","120 (1206)","1"
"R203","1M","1M (0805)","1"
"R301","100k","100k (0805)","1"
"R302","4,7k","4,7k (0805)","1"
"R306","1.1k","1.1K (0805)","1"
"R501, R504, R505, R508, R509, R512, R513, R516","91k","91k (1206)","8"
"R502, R506, R510, R514, R606","1k","1k (0805)","5"
"R503, R507, R511, R515","240k","240k (0805)","4"
"R601","47k","47k (0805)","1"
"R605","36k","36k (0805)","1"
"R607","1.5k","1.5k (0805)","1"
"S101","","DS1040-03RN","1"
"U1, U7","","MC33063ADR","2"
"U2, U3, U5, U6","","AM1S-0505SZ","4"
"U4","","MCP1700T-3302E/TT","1"
"U8","","STP08DP05MTR","1"
"U101, U301","ADUM1301ARWZ","ADUM1301","2"
"U102","","SN65LBC184DR","1"
"U201","","STM32F072RBT6","1"
"U302","","LM2904DG","1"
"U601","USB6B1RL","USB6B1RL","1"
"VO501, VO502, VO503, VO504","","FOD817C","4"
"Y201","32768","TC26H","1"
"Y202","8MHZ","SM49","1"
"","","","162"
