"RefDes","Value","Name","Quantity"
"C1","1uF","CAP_0805","1"
"C2, C4","220pF","CAP_0805","2"
"C3, C5, C13, C14","100nF","CAP_0805","4"
"C6, C7, C9","1nF","CAP_0805","3"
"C8","0.1uF","CAP_0805","1"
"C15","100pF","CAP_0805","1"
"D1, D3","","BZX84C10LT1","2"
"D7","","SMBJ30CA","1"
"D8","","G1A","1"
"D9","","BAT54S","1"
"F1","0.1A","FUSE_2","1"
"J1","","OSTTA020161B","1"
"Q1, Q2, Q7","","BSS84","3"
"Q4, Q15, Q16, Q18, Q19, Q20, Q21, Q22","","2N7002LT1","8"
"Q5, Q8","","BC817-40","2"
"Q17","","BSR41","1"
"R1","120","120 (0805)","1"
"R2, R17","10k","10k (0805)","2"
"R3, R9, R12, R16, R41","1k","1k (0805)","5"
"R4, R5, R10, R11","100","100 (0805)","4"
"R6, R7, R8, R39, R43, R44, R45","100k","100k (0805)","7"
"R14, R18","330","330 (0805)","2"
"R28","510","RES_0805","1"
"R32, R33, R35, R37, R38, R47, R48","180","180 (0805)","7"
"R34, R42","25k","RES_0805","2"
"R36, R46","2.8k","RES_0805","2"
"R40","680k","680k (0805)","1"
"R49","100","RES_0805","1"
"R50","100k","RES_0805","1"
"R51","10k","RES_0805","1"
"R52","1k","RES_0805","1"
"U1, U4, U6","","LM2902D","3"
"U3","","MCP6001T-I","1"
"","","","75"
